SN,PN,DATANAME,DATA
RB233593,1259372,iRatio0-176,11589
RB233593,1259372,iRatio0-200,11703
RB233593,1259372,iRatio0-224,11824
RB233593,1259372,iRatio0-248,11946
RB233593,1259372,iRatio0-272,12075
RB233593,1259372,iRatio0-296,12217
RB233593,1259372,iRatio0-32,10973
RB233593,1259372,iRatio0-320,12359
RB233593,1259372,iRatio0-344,12442
RB233593,1259372,iRatio0-368,12495
RB233593,1259372,iRatio0-392,12549
RB233593,1259372,iRatio0-416,12649
RB233593,1259372,iRatio0-440,12750
RB233593,1259372,iRatio0-464,12824
RB233593,1259372,iRatio0-488,12846
RB233593,1259372,iRatio0-512,12868
RB233593,1259372,iRatio0-536,12911
RB233593,1259372,iRatio0-56,11064
RB233593,1259372,iRatio0-560,12965
RB233593,1259372,iRatio0-584,13018
RB233593,1259372,iRatio0-608,13043
RB233593,1259372,iRatio0-632,13068
RB233593,1259372,iRatio0-656,13081
RB233593,1259372,iRatio0-680,13069
RB233593,1259372,iRatio0-704,13058
RB233593,1259372,iRatio0-728,12964
RB233593,1259372,iRatio0-752,12830
RB233593,1259372,iRatio0-776,12695
RB233593,1259372,iRatio0-8,10882
RB233593,1259372,iRatio0-80,11160
RB233593,1259372,iRatio0-800,13036
RB233773,1259373,iRatio0-104,12545
RB233773,1259373,iRatio0-128,12551
RB233773,1259373,iRatio0-152,12566
RB233773,1259373,iRatio0-176,12584
RB233773,1259373,iRatio0-200,12606
RB233773,1259373,iRatio0-224,12694
RB233773,1259373,iRatio0-248,12787
RB233773,1259373,iRatio0-272,12879
RB233773,1259373,iRatio0-296,12975
RB233773,1259373,iRatio0-32,12457
RB233773,1259373,iRatio0-320,13071
RB233773,1259373,iRatio0-344,13019
RB233773,1259373,iRatio0-368,12893
RB233773,1259373,iRatio0-392,12764
RB233773,1259373,iRatio0-416,12866
RB233773,1259373,iRatio0-440,12964
RB233773,1259373,iRatio0-464,12996
RB233773,1259373,iRatio0-488,12887
RB233773,1259373,iRatio0-512,12779
RB233773,1259373,iRatio0-536,12696
RB233773,1259373,iRatio0-56,12505
RB233773,1259373,iRatio0-560,12627
RB233773,1259373,iRatio0-584,12559
RB233773,1259373,iRatio0-608,12338
RB233773,1259373,iRatio0-632,12117
RB233773,1259373,iRatio0-656,11938
RB233773,1259373,iRatio0-680,11847
RB233773,1259373,iRatio0-704,11755
RB233773,1259373,iRatio0-728,11609
RB233773,1259373,iRatio0-752,11439
RB233773,1259373,iRatio0-776,11268
RB233773,1259373,iRatio0-8,12409
RB233773,1259373,iRatio0-80,12539
RB233773,1259373,iRatio0-800,11026
RB233953,1259317,iRatio0-104,12088
RB233953,1259317,iRatio0-128,12163
RB233953,1259317,iRatio0-152,12281
RB233953,1259317,iRatio0-176,12417
RB233953,1259317,iRatio0-200,12554
RB233953,1259317,iRatio0-224,12626
RB233953,1259317,iRatio0-248,12698
RB233953,1259317,iRatio0-272,12753
RB233953,1259317,iRatio0-296,12778
RB233953,1259317,iRatio0-32,12014
RB233953,1259317,iRatio0-320,12801
RB233953,1259317,iRatio0-344,12781
RB233953,1259317,iRatio0-368,12738
RB233953,1259317,iRatio0-392,12695
RB233953,1259317,iRatio0-416,12911
RB233953,1259317,iRatio0-440,13126
RB233953,1259317,iRatio0-464,13282
RB233953,1259317,iRatio0-488,13322
RB233953,1259317,iRatio0-512,13362
RB233953,1259317,iRatio0-536,13420
RB233953,1259317,iRatio0-56,12002
RB233953,1259317,iRatio0-560,13485
RB233953,1259317,iRatio0-584,13554
RB233953,1259317,iRatio0-608,13419
RB233953,1259317,iRatio0-632,13286
RB233953,1259317,iRatio0-656,13211
RB233953,1259317,iRatio0-680,13257
RB233953,1259317,iRatio0-704,13300
RB233953,1259317,iRatio0-728,13166
RB233953,1259317,iRatio0-752,12938
RB233953,1259317,iRatio0-776,12712
RB233953,1259317,iRatio0-8,12030
RB233953,1259317,iRatio0-80,12015
RB233953,1259317,iRatio0-800,13115
RB233957,1259317,iRatio0-104,11525
RB233957,1259317,iRatio0-128,11562
RB233957,1259317,iRatio0-152,11631
RB233957,1259317,iRatio0-176,11717
RB233957,1259317,iRatio0-200,11802
RB233957,1259317,iRatio0-224,11935
RB233957,1259317,iRatio0-248,12069
RB233957,1259317,iRatio0-272,12197
RB233957,1259317,iRatio0-296,12314
RB233957,1259317,iRatio0-32,11287
RB233957,1259317,iRatio0-320,12431
RB233957,1259317,iRatio0-344,12531
RB233957,1259317,iRatio0-368,12622
RB233957,1259317,iRatio0-392,12713
RB233957,1259317,iRatio0-416,12780
RB233957,1259317,iRatio0-440,12848
RB233957,1259317,iRatio0-464,12927
RB233957,1259317,iRatio0-488,13028
RB233957,1259317,iRatio0-512,13130
RB233957,1259317,iRatio0-536,13225
RB233957,1259317,iRatio0-56,11401
RB233957,1259317,iRatio0-560,13318
RB233957,1259317,iRatio0-584,13411
RB233957,1259317,iRatio0-608,13487
RB233957,1259317,iRatio0-632,13563
RB233957,1259317,iRatio0-656,13602
RB233957,1259317,iRatio0-680,13570
RB233957,1259317,iRatio0-704,13538
RB233957,1259317,iRatio0-728,13629
RB233957,1259317,iRatio0-752,13782
RB233957,1259317,iRatio0-776,13936
RB233957,1259317,iRatio0-8,11173
RB233957,1259317,iRatio0-80,11489
RB233957,1259317,iRatio0-800,13990
RB233958,1259317,iRatio0-104,12030
RB233958,1259317,iRatio0-128,12053
RB233958,1259317,iRatio0-152,12129
RB233958,1259317,iRatio0-176,12235
RB233958,1259317,iRatio0-200,12342
RB233958,1259317,iRatio0-224,12369
RB233958,1259317,iRatio0-248,12398
RB233958,1259317,iRatio0-272,12434
RB233958,1259317,iRatio0-296,12489
RB233958,1259317,iRatio0-32,12014
RB233958,1259317,iRatio0-320,12543
RB233958,1259317,iRatio0-344,12553
RB233958,1259317,iRatio0-368,12538
RB233958,1259317,iRatio0-392,12522
RB233958,1259317,iRatio0-416,12619
RB233958,1259317,iRatio0-440,12715
RB233958,1259317,iRatio0-464,12775
RB233958,1259317,iRatio0-488,12759
RB233958,1259317,iRatio0-512,12745
RB233958,1259317,iRatio0-536,12784
RB233958,1259317,iRatio0-56,12006
RB233958,1259317,iRatio0-560,12850
RB233958,1259317,iRatio0-584,12914
RB233958,1259317,iRatio0-608,12893
RB233958,1259317,iRatio0-632,12873
RB233958,1259317,iRatio0-656,12849
RB233958,1259317,iRatio0-680,12814
RB233958,1259317,iRatio0-704,12780
RB233958,1259317,iRatio0-728,12796
RB233958,1259317,iRatio0-752,12837
RB233958,1259317,iRatio0-776,12879
RB233958,1259317,iRatio0-8,12022
RB233958,1259317,iRatio0-80,12008
RB233958,1259317,iRatio0-800,12834
RB234019,1259372,iRatio0-104,11746
RB234019,1259372,iRatio0-128,11755
RB234019,1259372,iRatio0-152,11940
RB234019,1259372,iRatio0-176,12214
RB234019,1259372,iRatio0-200,12486
RB234019,1259372,iRatio0-224,12601
RB234019,1259372,iRatio0-248,12715
RB234019,1259372,iRatio0-272,12800
RB234019,1259372,iRatio0-296,12826
RB234019,1259372,iRatio0-32,11847
RB234019,1259372,iRatio0-320,12851
RB234019,1259372,iRatio0-344,12849
RB234019,1259372,iRatio0-368,12835
RB234019,1259372,iRatio0-392,12820
RB234019,1259372,iRatio0-416,13023
RB234019,1259372,iRatio0-440,13225
RB234019,1259372,iRatio0-464,13338
RB234019,1259372,iRatio0-488,13276
RB234019,1259372,iRatio0-512,13214
RB234019,1259372,iRatio0-536,13144
RB234019,1259372,iRatio0-56,11780
RB234019,1259372,iRatio0-560,13071
RB234019,1259372,iRatio0-584,12998
RB234019,1259372,iRatio0-608,13081
RB234019,1259372,iRatio0-632,13165
RB234019,1259372,iRatio0-656,13195
RB234019,1259372,iRatio0-680,13119
RB234019,1259372,iRatio0-704,13043
RB234019,1259372,iRatio0-728,12907
RB234019,1259372,iRatio0-752,12740
RB234019,1259372,iRatio0-776,12575
RB234019,1259372,iRatio0-8,11914
RB234019,1259372,iRatio0-80,11738
RB234019,1259372,iRatio0-800,12540
RB234021,1259372,iRatio0-104,11555
RB234021,1259372,iRatio0-128,11687
RB234021,1259372,iRatio0-152,11835
RB234021,1259372,iRatio0-176,11993
RB234021,1259372,iRatio0-200,12150
RB234021,1259372,iRatio0-224,12246
RB234021,1259372,iRatio0-248,12342
